,ID,LOC_ID,TR_N,PROJECT,SAMPLING_DATE,DEPTH,PH,SCARBON,SCEC,SNH4,SNO3,SLNI,SLON,SBDM,SRD,SPOR,WCF,GWCST,GWCFC,GWC1B,GWCWP,WCST,WCFC,WC1B,WCWP,SMACROP,SMESOP,SMICROP,SAND,SILT,CLAY,STC,DEPTH_range,SSKS,WCAD
37,MRCOS3MADRI,MRCO,S3,MADRI,02/06/2014,20,7.48,8.1,24.75,8.4044,2.1192,2900,2889.4764,1.356803398,2.43832886,44.3489985,27.71593214,44.02450538,38.21810557,33.25237507,28.50166437,59.71872867,51.84667094,45.11057166,38.66876364,7.872057728,13.1779073,38.66876364,2.967570875,35.6924332,61.33999592,Cl,0_20,5.447493026,16.91687263
38,MRCOS3MADRI,MRCO,S3,MADRI,02/06/2014,20,7.65,3.9,23.3,4.3004,0.6814,2600,2595.0182,1.491920565,2.619140224,43.03762785,28.2229493,32.64457148,31.05023644,28.93259455,26.79543296,48.69066692,46.32360442,43.15814285,39.9696114,2.367062494,6.353993028,39.9696114,11.15953781,44.34421245,44.49624975,SiCl,20_40,8.213083062,10.03748182
39,MRCOS3MADRI,MRCO,S3,MADRI,02/06/2014,20,7.52,3.6,22.9,5.5629,0.4305,2300,2294.0066,1.538009998,2.634677747,41.6243436,26.67822695,30.27073471,27.91430145,25.25406054,21.77463165,46.5517982,42.92654968,38.83395807,33.4759776,3.625248521,9.450572081,33.4759776,13.81578947,45.5465587,40.63765182,SiCl,40_60,7.57371188,8.560984649
40,MRCOS4MADRI,MRCO,S4,MADRI,07/21/2014,20,6.7,11.17,19.6,17.1626,35.0249,2400,2347.8125,1.464918271,2.680269562,45.34436791,28.31182228,36.4521355,30.8339471,28.1065499,25.59682447,53.39309252,45.16288146,41.16208424,37.48486186,0.181486447,7.678019597,37.48486186,8.684318135,38.77019015,52.54549172,Cl,0_20,5.322254333,12.33919594
41,MRCOS4MADRI,MRCO,S4,MADRI,07/21/2014,20,7.59,3.6,15,9.565,1.5162,1500,1488.9188,1.595155511,2.716044317,41.26916481,25.03022525,28.86595637,24.53822904,22.23572836,20.77820247,46.04516065,39.14219482,35.47045311,33.14623249,2.126969985,5.995962339,33.14623249,18.04820993,48.74389748,33.2078926,SiClLo,20_40,6.50656637,6.443530068
42,MRCOS4MADRI,MRCO,S4,MADRI,07/21/2014,20,7.66,3.2,15,10.0559,1.5483,1500,1488.3958,1.493786413,2.722889768,45.1396663,28.78690274,32.71072706,27.64970535,24.60620388,22.44373529,48.86238875,41.29338408,36.74489184,33.50652161,3.846282225,7.786862466,33.50652161,12.44628607,52.86985881,34.68385513,SiClLo,40_60,6.620090983,5.685908487
43,MRCOS1MADRII,MRCO,S1,MADRII,06/22/2015,20,7.15,14.519,17.9,5.619,5.041,1145.817,1135.157,1.622836815,2.635582929,38.42588682,23.89002872,28.37505129,23.58227329,22.35809055,21.408836,46.04807788,38.27018128,36.28353246,34.74304724,0.155705539,3.527134044,34.74304724,23.05538587,33.52168601,43.42292812,Cl,0_20,7.122256328,11.14546251
44,MRCOS1MADRII,MRCO,S1,MADRII,06/22/2015,20,7.57,5.582,14.7,5.372,1.011,533.914,527.531,1.70077559,2.675779684,36.43813052,19.86029207,25.02088026,21.13335527,19.32373263,18.04181114,42.5549024,35.94309479,32.86533278,30.685072,0.495035731,5.258022788,30.685072,35.96446701,33.42639594,30.60913706,ClLo,20_40,8.528990756,10.01598737
45,MRCOS1MADRII,MRCO,S1,MADRII,06/22/2015,20,7.5,7.748,18.4,5.218,1.273,696.005,689.514,1.491929187,2.661579976,43.94573148,29.54512552,34.35735588,29.39456235,29.25847642,28.39708139,51.25874201,43.8546055,43.65157492,42.36643454,0.091125975,1.488170961,42.36643454,12.30272597,42.70854683,44.9887272,SiCl,40_60,6.484857774,10.16587768
46,MRCOS2MADRII,MRCO,S2,MADRII,01/18/2016,20,6.68,13.2,16.65,4.7724,15.5014,2400,2379.7262,1.629256105,2.682448782,39.26235925,15.02473154,27.45457341,23.63976524,21.40111228,20.26064225,44.73053133,38.51523183,34.86789283,33.00977507,0.747127414,5.505456762,33.00977507,25.76231826,35.79361874,38.444063,ClLo,0_20,7.015173739,10.43161787
47,MRCOS2MADRII,MRCO,S2,MADRII,01/18/2016,20,7.61,7.6,14.2,2.7244,5.5254,1800,1791.7502,1.66668281,2.692860046,38.04153122,13.05396024,24.4443042,21.72925213,19.15683181,17.98043547,40.74090161,36.215771,31.92836227,29.96768271,1.825760218,6.248088288,29.96768271,38.49526305,28.16972385,33.3350131,ClLo,20_40,8.437975841,11.87423967
48,MRCOS2MADRII,MRCO,S2,MADRII,01/18/2016,20,7.67,6.4,14,2.2695,5.6365,1800,1792.094,1.712580842,2.704073535,36.66663204,17.40399593,22.55773736,20.51561944,18.89051059,18.37292875,38.63194884,35.13465682,32.35152654,31.4651258,1.531975216,3.669531026,14.6687953,54.96378998,9.253671294,35.78253872,SaCl,40_60,11.9988824,16.56488726
49,MRCOS2MADRI,MRCO,S2,MADRI,01/17/2014,20,7.16,22.67981439,26.05,5.31,10.77,2581.14,2565.06,1.287269618,2.65,51.42378802,24.05597554,35.31424452,29.56840443,23.01967816,21.26428415,45.65275938,38.14877951,29.70453992,27.42039194,13.2750085,10.72838757,27.42039194,30.33245222,34.7702318,34.89731598,ClLo,0_20,11.12091667,13.46484922
50,MRCOS2MADRI,MRCO,S2,MADRI,01/17/2014,20,7.71,5.214617169,18.9,3.77,1.92,1081.98,1076.29,1.396377575,2.65,47.30650662,21.53897185,29.11774087,25.91090115,21.39994135,18.6179791,40.67080216,36.18497988,29.88170599,25.99649622,11.12152674,10.18848366,25.99649622,27.67311609,34.82688391,37.5,ClLo,20_40,10.19796324,11.77925126
51,MRCOS2MADRI,MRCO,S2,MADRI,01/17/2014,20,7.86,3.573085847,17.5,4.6,2.16,804.99,798.23,1.378481444,2.65,47.9818323,24.99258003,31.56380753,26.24891532,21.86532648,19.39471065,43.44523302,36.14908053,30.10471781,26.72826183,11.83275177,9.420818706,26.72826183,32.79214169,29.72312704,37.48473127,ClLo,40_60,12.18077591,13.78136604
52,YOCSS3MADRI,YOCS,S3,MADRI,11/07/2014,20,4.620833333,22.84605833,7.354166667,11.80233333,12.13558333,1071.217917,1047.28,1.396176501,2.550941945,45.26819774,17.39087721,37.31201684,24.93598537,18.83220153,16.73815781,52.01517532,34.79640595,26.26278111,23.33811193,10.47179179,11.45829402,23.33811193,31.77238531,29.6276501,38.59996434,ClLo,0_20,13.63476788,13.12492975
53,YOCSS3MADRI,YOCS,S3,MADRI,11/07/2014,20,4.620833333,22.84605833,7.354166667,11.80233333,12.13558333,1071.217917,1047.28,1.71261751,2.508223055,31.71988805,17.76945819,23.23633985,18.29761524,15.10282816,13.57762935,39.79267237,31.33506799,25.8681541,23.25343038,0.384820053,8.081637617,23.25343038,31.77238531,29.6276501,38.59996434,ClLo,20_40,7.415138644,9.631049859
54,YOCSS3MADRI,YOCS,S3,MADRI,11/07/2014,20,4.620833333,22.84605833,7.354166667,11.80233333,12.13558333,1071.217917,1047.28,1.683239382,2.638079865,36.19452527,20.14595652,24.3505246,19.39693874,16.04354371,14.41938243,40.93102946,32.6160173,26.99836411,24.26777064,3.578507968,8.348246665,24.26777064,31.77238531,29.6276501,38.59996434,ClLo,40_60,7.809543359,10.20964132
55,YOCSS2MADRI,YOCS,S2,MADRI,02/06/2014,20,4.55,12.6,14.3,28.882,50.46,1940,1860.658,1.265959,2.567744,50.69553,22.23391,38.2762,33.77479,29.82252,28.93815,48.45895,42.75766,37.74644,36.6271,7.937873,6.130553,36.6271,17.16457,41.22117,41.61426,SiCl,0_20,8.681883831,12.37349982
56,YOCSS2MADRI,YOCS,S2,MADRI,02/06/2014,20,4.8,8,13.9,31.782,10.102,1080,1038.116,1.529182,2.607368,41.35013,17.57756,29.34425,25.52864,22.626,21.10398,44.91283,39.05268,34.61591,32.30347,2.29745,6.749204,32.30347,13.94408,44.11614,41.93978,SiCl,20_40,6.006679838,8.333491168
